[WARN] 2024-09-29 09:33:05 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:10 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:15 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:20 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:25 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:30 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:35 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:40 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:46 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:51 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:33:56 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:01 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:06 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:11 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:16 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:21 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:26 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:31 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:36 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:41 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:46 LoginServerThread: LoginServer not avaible, trying to reconnect...
[WARN] 2024-09-29 09:34:51 LoginServerThread: LoginServer not avaible, trying to reconnect...
